,tag
"['RQ', ' LB', ' CW']",1
"['LS', ' SE ']",1
"['LP', ' P']",1
"['D', ' CW']",1
"['BQ', ' P', ' TY', ' SM', ' CW', ' O']",1
"['CW', ' PB', ' TY']",1
['PE'],1
"['CW', ' LB', ' TY ']",1
"['PO', ' SM', ' CW']",1
"['BQ', ' P', ' CW', ' TY', ' SM']",1
"['SE', ' TY']",1
"['D', ' SM']",1
"['TE', ' P', ' BQ', ' TY']",1
"['CW', ' BQ', ' P', ' TY', ' SM']",1
"['CW', ' TY', ' PO']",1
"['RQ', ' SE', ' CW']",1
['BQ /TY'],1
"['SE', ' SM', ' CW ']",1
R,1
"['FN'],IT ",1
"['TY', ' PB', ' SM', ' O']",1
"['P', ' TY', ' BQ', ' CW']",1
"['SD', ' CW']",1
"['D', ' TY', ' CW']",1
"['TY', ' CW', ' PB']",1
"['TY', ' PB', ' CW', ' O']",1
"['TY', ' LB', ' P'],NN",1
"['SM', ' CW', ' BQ', ' TY']",1
"['CW', ' P', ' TY']",1
"['MT', ' IT', ' C']",1
"['SE', ' LB', ' CW']",1
"['TE', ' TY', ' M']",1
"['BQ', ' P', ' TY']",1
"['RQ', ' LB', ' CW', ' TY']",1
"['FN'],IN, MT, IT",1
"['FN'],IN, IT, MT",1
"['I', ' CW']",1
"['SM', ' CW', ' BQ', ' PB', ' O']",1
"['TY', ' PB', ' D']",1
"['C', ' T', ' MT']",1
"['BQ', ' P', ' CW']",1
"['FN'],C, ",1
"['TY', ' LB'],NN",1
"['SE', ' LB']",1
"['BQ', ' CW', ' TY', ' PB']",1
"['P', ' TY', ' BQ', ' CW', ' PB', ' O']",1
"['TY', ' LB ']",1
"['PB', ' TY', ' BQ', ' CW']",1
"['TY', ' P', ' SM', ' CW', ' BQ']",1
"['LB', ' LS', ' TY ']",1
"['LB', ' TY', ' SM']",1
"['PB', ' TY', ' SM', ' CW']",1
"['P', ' LB', ' RQ', ' CW']",1
"['BQ', ' P', ' TY', ' SM', ' CW']",1
"['BQ', ' LB', ' CW'],NN",1
"['PB', ' TE', ' TY', ' LS']",1
"['D', ' TY', ' PB', ' CW']",1
"['RQ', ' BQ', ' P']",1
"['TY', ' LB', ' SM']",1
"['SM', ' PB', ' CW ']",1
"['BQ ', ' TY'],NN",1
"['BQ', ' P', ' SM', ' CW', ' PB']",1
"['P', ' TY', ' CW', ' SM', ' BQ', ' LB']",1
"['TE', ' TY', ' LB ']",1
"['SM', ' CW', 'TY', ' LB']",1
"['CW', ' IN']",1
"['LB', ' CW', 'TY'],NN",1
"['LB', ' P', ' IT', ' CW']",1
"['LB', ' PB', ' SM']",1
"['LB', ' TY', ' CW'],NN",1
"['PO', ' LS']",1
"['C', ' T', ' IT']",1
"['TY', ' CW', ' TE']",1
"['TE', ' TY', ' LS', ' PB']",1
"['TE', ' CW', ' SM']",1
"['O', ' LS', ' TY']",1
"['RQ', ' P', ' BQ', ' TY']",1
"['PB', ' CW', ' TY', ' PO']",1
"['LS', ' SM']",1
"['TE', ' PB', ' LS', ' TY ']",1
"['SM', ' CW', ' LB', ' TY', ' P']",1
"['SE ', ' TY']",1
"['LS', ' LB', ' TY'],NN",1
"['RQ', ' TY', ' CW']",1
"['TE', ' TY', ' LD', ' SE']",1
"['O', ' PB', ' CW', ' TY']",1
"['O', ' TY', ' PO']",1
"['PO', ' PB', ' TY', ' O']",1
"['BQ', ' TY', ' LB', ' T']",1
"['LB', ' CW', 'TY']",1
"['TE', ' SE']",1
"['BQ ', ' TY']",1
"['IT', ' T']",1
"['O', ' TY', ' PB']",1
"['CW', ' TY', ' SM']",1
"['RQ', ' BQ', ' TY', ' P', ' SM', ' CW']",1
"['P', ' TY', ' LB']",1
"['IN', ' CW']",1
"['CW', ' PO']",1
"['BQ', ' PB', ' CW']",1
"['SM', ' CW', ' LB', ' P', ' TY']",1
"['TY', ' LB', ' CW', ' P']",1
"['PB', ' C', ' T', ' IT', ' CW']",1
"['LB', ' CW ']",1
"['MT', ' IT', ' IN', ' C']",1
"['SM', ' LB', ' CW']",1
"['CW', ' PB', ' O']",1
"['TE', ' TY', ' PO', ' O']",1
"['P', ' SM', ' BQ', ' CW']",1
"['M', ' CW']",1
"['PO', ' LB', ' TY']",1
"['PO', ' TY', ' P', ' BQ', ' CW']",1
"['D', ' LB']",1
"['TY', ' SM', ' CW', ' PB']",1
"['FN'],IN ",1
"['PB', ' TY']",1
"['TY', ' LB '],NN",1
"['PB', ' PO']",1
"['SM', ' TY', ' PB']",1
"['CW', ' LS'],NN",1
"['FN'],C, IT, MT",1
"['BQ', ' SE'],NN",1
"['LS', ' TY', ' LB']",1
"['LB', ' PB']",1
"['CW', ' SD', ' TY']",1
['TY. CW'],1
"['LS', ' CW', ' TY']",1
"['SM', ' TY', ' O']",1
"['PB', ' TY', ' PO', ' CW', ' O']",1
"['CW', ' PO', ' TY']",1
"['P. LB', ' TY', ' CW']",1
"['BQ', ' P', ' SE']",1
['RQ '],1
"['TY', ' P', ' LB']",1
"['TY', ' BQ', ' CW']",1
"['PB', ' BQ', ' TY', ' CW', ' P']",1
"['TY', ' P', ' PB', ' TE', ' LS']",1
"['TE', ' PB', ' P', ' O', ' TY']",1
"['LB', ' SE', ' CW']",1
"['IN', ' T', ' MT']",1
"['FN', ' CW', ' SM'],IT",1
"['FN'],C, T ",1
"['PO', ' PB']",1
"['BQ', ' CW']",1
"['RQ', ' LB', ' SM', ' CW']",1
"['BQ', '  TY', ' P']",1
"['BQ', ' P', ' TY', ' LB ']",1
"['CW', ' SD']",1
"['CW', ' TY', ' M']",1
"['P', ' TY', ' BQ', ' CW', ' PB']",1
"['BQ', ' P', ' TY ']",1
"['BP', ' P', ' TY', ' CW']",1
"['P', ' TY', ' SM']",1
"['P', ' BQ', ' PB', ' TY', ' CW']",1
"['PB', ' TY', ' TE']",1
"['SM', ' CW', ' BQ']",1
